Study Ref;Taxon;Effect size (day/degree increase);Precision (SE);Sample size (Years);Sample Size (Sites);SamplesTotal;(Country);Moderator 3 (phenological measure);Moderator 4 (Analysis type);(Years);p-value;Moderator(Latitude);Moderator(Years);Moderator(Voltinism)
32;Gonepteryx rhamni;-4.717663834;0.316835944;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Hamearis lucina;-2.679655164;1.564386328;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
32;Hesperia comma;2.153770145;1.790740197;;;;Germany;Mean Day of Record in GBIF;Temporal;1980-2020;;51;40;Univoltine
41;Ochlodes sylvanus;-6.6;;11;;11;Netherlands;Appearance Mean First;Temporal;2001-2013;0.001;;;
41;Gonepteryx rhamni;-4.8;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.001;;;
41;Anthocharis cardamines;-5;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.001;;;
41;Pieris brassicae;-4.1;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.01;;;
41;Pieris napi;-4.4;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.01;;;
41;Pieris rapae;-6;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.01;;;
41;Lycaena phlaeas;-5.4;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.01;;;
41;Callophrys rubi;-3.2;;10;;10;Netherlands;Appearance Mean First;Temporal;2001-2013;0.01;;;
41;Celastrina argiolus;-4.9;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.01;;;
41;Polyommatus icarus;-6.4;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.01;;;
41;Pararge aegeria;-5.4;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.01;;;
41;Coenonympha pamphilus;-3.2;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.01;;;
41;Pyronia tithonus;-3.7;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.001;;;
41;Aphantopus hyperantus;-4.8;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.001;;;
41;Maniola jurtina;-8.9;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.001;;;
41;Aglais io;-6;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.001;;;
41;Polygonia c-album;-5.4;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.001;;;
41;Araschnia levana;-3.6;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.001;;;
41;Alliaria petiolata;-4;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.001;;;
41;Cardamine pratensis;-3.8;;13;;13;Netherlands;Appearance Mean First;Temporal;2001-2013;0.001;;;
47;Aporia crataegi;-6.58;0.4;;11;11;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Argynnis paphia;-5.3;0.5;;10;10;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Coenonympha arcania;-3.11;5.4;;9;9;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Euphydryas aurinia;-7.64;0.63;;11;11;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Fabriciana adippe;-5.94;0.58;;7;7;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Fabriciana niobe;-5.17;1.3;;16;16;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Hesperia comma;-4;0.44;;14;14;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Hipparchia hermione;-3.9;0.47;;15;15;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Hipparchia statilinus;-3.53;0.57;;13;13;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Hyponephele lycaon;-4.57;0.3;;15;15;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Lycaena alciphron;-1.06;2.88;;17;17;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Lycaena virgaureae;-5.85;0.35;;12;12;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Melanargia lachesis;-4.49;0.16;;22;22;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
47;Pyronia tithonus;-3.24;0.34;;11;11;Spain;Appearance Mean First;Temporal+Spatial;2005-2018;;40.5;13;Univoltine
